"STATION_CODE","STATION_NAME","LATIN_NAME","SAMPLE_DATE","TISSUE_NAME","SAMPLE_NO","REPNO","NAME","VALUE","FLAG1","FLAG2","UNIT","DETECTION_LIMIT","UNCERTAINTY","QUANTIFICATION_LIMIT","APPROVED","REMARK_sample","REMARK_chem","STATION_ID","SAMPLE_ID","METHOD_ID","VALUE_ID","TISSUE_ID","TAXONOMY_CODE_ID","MYEAR"
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Naftalen",50,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36370,2014208,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Kobber",1.2,NA,NA,"MG_P_KG",NA,25,0.02,1,NA,NA,67476,246962,35494,2018018,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Monooktyltinn (MOT)",0.4,"<",NA,"UG_P_KG",NA,NA,0.4,1,NA,NA,67476,246962,36341,2018024,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Dibenzo[a,h]antracen",0.315,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36369,2014207,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Benzo[k]fluoranten",1.1,NA,NA,"UG_P_KG",NA,70,0.5,1,NA,NA,67476,246962,36368,2018011,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Krom",0.077,NA,NA,"MG_P_KG",NA,50,0.03,1,NA,NA,67476,246962,35542,2018019,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Tributyltinn (TBT)",0.3,"<",NA,"UG_P_KG",NA,NA,0.3,1,NA,NA,67476,246962,36340,2018023,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Sum PAH 16",30,NA,NA,"UG_P_KG",NA,60,NA,1,NA,NA,67476,246962,35495,2017996,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Indeno[1,2,3-cd]pyren",0.5,"<",NA,"UG_P_KG",NA,70,0.5,1,NA,NA,67476,246962,36363,2018003,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Bly",0.12,NA,NA,"MG_P_KG",NA,40,0.03,1,NA,NA,67476,246962,35556,2018016,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Fluoren",0.96,NA,NA,"UG_P_KG",NA,60,0.5,1,NA,NA,67476,246962,36362,2018002,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Benzo[a]pyren",0.5,"<",NA,"UG_P_KG",NA,70,0.5,1,NA,NA,67476,246962,36360,2018000,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Fenantren",7.6,NA,NA,"UG_P_KG",NA,40,0.5,1,NA,NA,67476,246962,36371,2018021,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Benzo[b,j]fluoranten",1.7,NA,NA,"UG_P_KG",NA,60,0.5,1,NA,NA,67476,246962,36366,2018006,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Kvikksølv",0.014,NA,NA,"MG_P_KG",NA,30,0.005,1,NA,NA,67476,246962,35532,2018014,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Kadmium",0.13,NA,NA,"MG_P_KG",NA,25,0.001,1,NA,NA,67476,246962,35557,2018017,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Acenaften",0.5,"<",NA,"UG_P_KG",NA,60,0.5,1,NA,NA,67476,246962,36357,2017997,7,8859,2016
